Place_Id,Eco_Friendliness,Renewable_Energy_Usage,Waste_Management,Public_Transport_Access,Cultural_Preservation_Effort
1,High,False,Excellent,Low,Strong
2,High,False,Good,Moderate,Strong
3,Medium,False,Good,High,Strong
4,Low,True,Excellent,Moderate,Strong
5,Low,True,Poor,Moderate,Moderate
6,Medium,False,Excellent,Low,Weak
7,Low,True,Poor,High,Weak
8,High,True,Poor,Moderate,Moderate
9,Medium,True,Excellent,Moderate,Moderate
10,Medium,False,Good,Low,Weak
11,Low,True,Good,Low,Moderate
12,High,True,Poor,Moderate,Strong
13,Low,True,Good,High,Moderate
14,Medium,False,Good,Low,Moderate
15,Low,True,Good,Low,Strong
16,Low,True,Good,Low,Strong
17,High,False,Excellent,Low,Strong
18,Low,False,Good,Low,Moderate
19,Medium,True,Good,High,Moderate
20,Low,False,Excellent,Low,Strong
21,Low,False,Good,Moderate,Strong
22,Low,True,Excellent,High,Moderate
23,Medium,False,Excellent,High,Moderate
24,Low,True,Good,High,Weak
25,Low,False,Poor,Moderate,Strong
26,Low,False,Poor,Moderate,Weak
27,Medium,False,Excellent,Low,Weak
28,High,False,Good,High,Weak
29,High,True,Excellent,High,Weak
30,High,False,Excellent,High,Strong
31,Low,False,Good,Low,Strong
32,High,True,Poor,High,Moderate
33,Low,True,Poor,Low,Moderate
34,Medium,False,Excellent,High,Moderate
35,Low,False,Excellent,Low,Moderate
36,High,False,Poor,Low,Weak
37,Low,False,Poor,Low,Strong
38,Medium,False,Excellent,Moderate,Strong
39,Low,True,Good,Low,Strong
40,High,False,Good,Moderate,Strong
41,High,False,Excellent,High,Moderate
42,High,True,Good,Moderate,Strong
43,Medium,True,Good,Moderate,Weak
44,Low,False,Good,High,Strong
45,Medium,True,Excellent,Low,Weak
46,Medium,True,Good,Low,Moderate
47,Low,True,Good,Moderate,Strong
48,Medium,False,Poor,High,Weak
49,Low,True,Poor,High,Moderate
50,High,True,Excellent,High,Moderate
51,Medium,True,Poor,High,Weak
52,Low,False,Good,High,Moderate
53,Medium,False,Good,Low,Strong
54,Medium,True,Excellent,Moderate,Weak
55,Low,False,Excellent,Moderate,Strong
56,Medium,True,Excellent,Moderate,Moderate
57,Low,True,Excellent,High,Strong
58,Medium,True,Good,Low,Moderate
59,High,True,Excellent,Moderate,Moderate
60,Medium,True,Good,Moderate,Moderate
61,High,True,Good,Moderate,Strong
62,High,False,Good,Moderate,Strong
63,Medium,True,Poor,Moderate,Strong
64,Medium,False,Poor,Moderate,Moderate
65,Low,False,Good,High,Weak
66,High,False,Poor,High,Moderate
67,High,True,Excellent,High,Weak
68,Medium,False,Excellent,Low,Moderate
69,High,True,Excellent,High,Strong
70,Low,True,Good,Low,Moderate
71,Low,True,Poor,Moderate,Moderate
72,Low,True,Poor,Moderate,Moderate
73,High,True,Good,Low,Weak
74,Medium,False,Excellent,Moderate,Weak
75,High,False,Excellent,Low,Weak
76,Medium,False,Good,Moderate,Weak
77,High,False,Good,High,Strong
78,High,False,Poor,Low,Strong
79,Medium,False,Excellent,High,Moderate
80,High,True,Good,Moderate,Strong
81,Low,True,Good,Moderate,Moderate
82,Medium,True,Excellent,Moderate,Moderate
83,High,False,Good,High,Weak
84,Medium,True,Poor,High,Strong
85,Medium,True,Good,Moderate,Moderate
86,Medium,True,Excellent,Low,Weak
87,High,False,Good,Low,Moderate
88,Medium,False,Good,Low,Strong
89,Medium,True,Good,Moderate,Strong
90,Medium,False,Good,Low,Moderate
91,High,True,Good,High,Weak
92,High,False,Excellent,High,Strong
93,High,True,Poor,Moderate,Moderate
94,High,False,Excellent,Low,Strong
95,High,False,Excellent,Moderate,Strong
96,Low,True,Good,Moderate,Strong
97,Low,True,Poor,High,Strong
98,Medium,True,Excellent,Moderate,Strong
99,Low,True,Excellent,Moderate,Weak
100,High,False,Excellent,Moderate,Moderate
101,Medium,True,Poor,Moderate,Strong
102,Low,True,Poor,Low,Moderate
