User_ID,Destination_ID,Rating
50,70,5
540,71,5
602,315,4
622,120,4
863,268,5
502,269,1
137,314,4
31,255,5
459,163,5
836,273,2
104,7,3
609,28,1
174,118,5
628,59,2
361,32,1
249,193,4
990,78,3
766,201,2
740,144,5
752,150,4
531,78,4
983,97,5
904,405,2
810,292,3
842,142,4
128,277,2
617,272,3
289,370,1
933,172,1
140,75,5
832,118,3
138,362,1
67,28,5
595,20,2
627,350,2
80,14,1
763,13,2
424,363,4
758,147,2
219,184,3
24,89,2
981,265,2
681,105,3
630,23,3
555,361,2
402,107,1
49,226,2
867,396,5
680,294,1
869,242,2
742,245,1
18,26,3
989,344,2
418,237,3
964,254,1
842,59,5
92,305,4
358,249,4
120,425,1
477,107,4
910,25,5
560,163,2
156,252,5
2,379,2
904,209,2
427,74,3
334,369,2
92,174,2
476,434,5
677,413,1
860,148,5
176,359,4
150,99,4
455,143,4
591,186,4
269,418,5
131,192,4
837,405,2
190,147,3
449,88,1
822,301,4
662,125,1
303,69,2
254,432,5
826,136,4
169,231,4
581,241,4
925,269,3
650,390,2
290,11,3
772,232,5
926,126,1
3,252,1
765,236,2
727,372,5
844,297,1
895,245,2
508,10,1
638,236,2
744,436,4
569,134,5
313,48,2
980,199,1
423,166,2
828,319,5
827,195,3
203,309,1
830,18,4
214,107,5
858,124,1
646,427,3
651,20,4
46,63,1
418,118,1
339,164,1
214,299,2
999,334,1
572,52,5
979,137,3
500,193,1
416,153,5
283,362,4
65,12,4
34,144,3
865,85,3
679,425,2
993,241,5
128,256,1
334,362,4
232,394,4
181,283,3
656,197,1
805,255,4
566,130,4
97,331,1
903,200,5
978,316,3
335,90,3
918,372,3
539,336,1
984,219,1
316,338,2
327,304,2
134,13,2
911,42,2
809,344,1
367,265,2
435,431,5
987,180,2
6,221,2
471,261,2
601,224,5
529,129,5
863,63,3
333,41,4
285,36,5
131,272,1
694,105,5
208,183,3
578,273,5
582,50,2
917,355,2
531,35,4
847,225,4
761,211,4
199,169,3
967,250,3
144,125,1
29,371,3
919,219,2
354,269,2
912,285,4
675,357,1
485,65,4
564,82,3
835,192,3
196,1,5
752,25,2
30,231,1
492,17,3
994,188,4
843,364,4
712,176,5
422,214,1
951,196,5
12,103,5
752,248,3
931,243,3
862,433,4
600,236,5
416,114,5
652,407,5
24,99,4
434,373,2
732,7,2
810,130,1
398,283,5
147,311,4
861,121,5
15,278,3
177,204,4
398,213,5
681,84,5
219,125,2
553,273,1
968,417,3
14,386,1
738,406,4
736,416,3
134,388,3
398,57,1
572,15,1
233,183,2
611,292,3
680,434,2
635,78,1
286,118,3
646,307,4
986,72,5
54,215,1
338,272,2
626,328,3
407,274,1
1000,429,2
342,389,1
739,75,2
211,384,5
717,347,4
30,322,2
419,364,5
719,375,2
187,74,4
527,6,1
778,295,3
268,236,3
632,356,2
816,122,1
147,403,1
9,305,2
232,426,4
583,280,4
397,228,4
284,389,5
494,391,4
932,47,1
457,165,3
135,248,2
226,366,1
162,238,3
549,349,3
807,420,4
366,377,5
808,303,4
892,76,2
655,273,3
792,184,3
843,60,3
157,402,5
119,8,5
638,396,5
310,18,2
184,59,4
828,34,4
730,315,2
346,384,2
82,239,3
824,100,5
288,225,4
569,265,1
138,1,3
758,46,4
619,83,2
371,412,3
704,175,2
845,432,4
984,353,5
700,79,1
229,258,1
469,140,1
392,120,2
68,421,2
289,325,5
670,193,4
861,261,2
20,387,1
324,390,2
783,229,2
704,139,1
710,140,5
772,353,1
182,262,3
740,194,3
42,334,4
811,390,5
555,383,4
507,125,2
303,180,3
895,199,2
706,356,1
438,163,1
730,429,2
639,207,5
866,298,3
800,277,5
570,153,5
214,191,3
945,434,5
875,129,3
578,115,2
976,84,4
388,419,1
384,193,1
346,256,2
22,310,3
977,96,3
826,87,4
357,174,3
120,30,3
533,200,2
76,127,4
281,295,5
113,166,3
379,172,3
31,7,5
132,242,3
685,172,4
803,141,1
904,55,5
469,154,3
386,120,4
284,338,2
798,11,5
15,70,1
407,254,2
796,184,3
645,161,5
96,20,2
957,78,5
920,37,4
302,359,4
598,384,4
325,209,1
311,284,1
920,155,3
801,126,3
925,381,5
156,91,2
740,27,2
744,131,3
319,133,5
906,117,3
743,104,3
383,211,5
358,256,3
361,79,2
609,169,4
736,165,3
594,400,3
205,153,2
108,289,3
217,329,5
364,351,3
608,266,3
33,110,2
153,152,1
881,208,2
704,2,4
967,139,5
247,204,1
602,239,3
134,380,5
457,272,5
8,226,5
301,75,1
197,22,3
994,203,1
98,121,1
688,21,5
847,257,1
726,134,5
199,167,2
878,92,4
610,358,3
977,34,5
777,6,1
660,191,1
353,350,2
441,377,5
6,148,4
919,326,1
463,241,5
75,388,4
999,427,1
232,30,1
911,115,2
149,56,1
935,225,3
301,358,3
675,400,5
945,140,1
532,129,2
50,312,2
706,437,1
756,295,2
175,50,5
121,420,4
389,262,1
730,240,3
395,126,3
628,233,1
574,384,2
583,147,1
105,106,5
559,200,1
296,304,4
817,240,4
34,204,1
199,326,2
780,221,2
441,115,5
199,386,3
187,391,5
810,295,5
503,173,2
668,220,1
127,433,3
694,435,2
590,432,3
136,286,3
201,171,1
889,19,4
759,106,3
108,75,5
144,38,1
610,299,5
633,178,5
930,217,3
504,21,3
987,261,1
465,127,5
166,116,4
359,248,2
821,133,1
249,100,2
816,200,4
834,255,5
458,6,1
852,309,4
521,394,1
106,410,4
415,361,5
64,256,5
212,95,3
719,240,1
82,16,5
874,190,2
201,291,2
826,259,5
451,324,4
197,380,4
636,104,3
892,420,5
431,230,4
172,42,2
613,404,5
100,264,2
702,151,2
436,429,4
59,49,4
590,316,4
716,255,2
168,96,3
616,282,5
542,371,4
803,75,3
635,43,3
328,162,2
598,366,4
369,1,4
591,120,3
356,261,5
94,433,1
866,357,4
47,408,3
115,249,2
715,345,1
188,162,4
554,5,4
176,45,2
816,365,2
128,156,3
95,267,1
32,308,4
807,376,2
57,326,3
169,411,2
279,136,2
432,152,3
553,291,5
333,133,3
703,235,1
484,149,4
889,337,5
27,31,3
891,112,3
416,370,2
285,46,5
422,113,1
576,356,4
778,349,1
476,268,3
487,321,1
744,219,5
714,168,3
720,159,1
920,293,3
729,341,5
230,305,2
606,130,4
173,156,5
847,228,4
841,244,2
549,423,2
35,295,1
19,26,2
295,87,4
435,236,2
775,366,5
535,60,3
221,423,2
710,222,4
981,67,2
156,283,5
122,320,4
483,432,1
974,203,2
370,156,3
617,101,4
659,179,4
983,291,5
82,249,1
896,201,2
769,237,1
704,274,1
985,200,3
813,359,4
319,52,1
80,72,4
748,317,1
569,198,1
888,326,4
552,30,4
46,23,2
982,266,4
305,250,1
925,64,3
307,308,4
231,355,5
593,101,3
933,432,3
1,306,4
270,342,5
727,185,3
902,180,2
871,281,1
353,427,3
645,51,3
218,432,3
139,98,4
8,130,3
25,397,1
411,43,3
48,373,3
509,161,1
462,28,1
313,313,3
276,249,3
541,358,3
821,425,4
347,100,2
716,333,3
213,296,2
663,9,1
855,423,5
67,391,4
28,130,4
143,183,4
235,87,2
990,239,3
975,35,2
689,393,4
533,433,3
490,43,5
573,386,3
407,14,1
603,235,4
316,283,4
455,74,4
768,412,2
228,20,5
165,282,3
59,250,2
633,305,4
669,335,1
208,146,1
4,212,3
348,387,5
827,422,2
211,423,3
759,8,3
284,396,4
175,330,3
717,340,3
821,199,2
172,264,5
573,128,5
414,433,5
733,34,2
236,93,5
832,168,5
233,340,5
656,246,1
157,250,5
958,143,3
74,43,4
565,268,3
673,365,3
896,370,5
652,243,5
180,199,3
499,325,5
401,356,5
423,231,3
24,437,2
22,342,2
626,435,4
459,58,1
211,358,4
781,375,5
967,399,5
339,422,5
979,139,2
711,400,1
784,167,3
819,362,4
438,5,2
134,392,5
124,220,4
941,257,2
195,162,5
711,319,3
179,23,4
786,45,4
318,309,2
24,216,1
490,272,1
140,376,4
978,430,2
807,319,3
898,220,1
781,87,4
544,168,4
265,277,4
467,424,4
723,283,2
575,419,1
924,431,4
924,220,1
562,196,3
189,40,2
60,313,1
558,319,1
215,134,3
725,210,2
917,132,1
950,7,3
775,185,2
541,223,2
615,105,3
620,413,1
728,34,2
480,421,3
979,160,3
119,392,2
483,320,3
977,431,3
527,425,4
587,149,2
275,198,5
129,394,4
963,322,5
850,403,2
262,320,4
356,381,3
992,297,4
234,78,3
260,14,2
72,112,3
692,424,5
858,73,3
443,150,2
945,8,1
901,180,4
440,201,3
826,292,3
515,338,5
463,436,3
542,429,3
541,363,1
351,83,3
306,232,5
257,113,4
577,393,5
756,11,3
359,212,2
460,332,4
598,321,2
838,199,5
455,71,1
134,398,1
426,123,3
486,354,5
760,61,2
160,136,4
338,51,5
808,396,1
932,173,5
547,409,1
638,149,3
1000,336,5
709,178,2
964,374,1
358,386,1
233,355,1
493,247,3
149,44,5
443,382,2
504,263,2
616,386,1
474,155,3
750,199,3
398,67,3
288,294,1
118,265,5
786,369,4
712,147,4
884,301,1
818,249,2
526,301,5
327,42,4
87,242,2
194,394,2
150,82,5
990,115,1
92,335,2
669,389,3
733,76,1
839,232,2
987,44,3
750,175,5
662,91,5
9,278,5
670,165,5
951,284,5
392,40,1
221,276,1
980,24,5
244,405,3
898,258,2
666,365,3
227,151,2
731,346,3
770,138,2
457,411,3
490,32,3
792,192,4
610,373,4
57,31,3
120,63,3
869,291,4
870,267,3
764,311,4
963,260,3
759,228,4
653,44,3
837,161,1
757,5,5
441,365,4
152,261,3
103,258,4
498,96,2
527,416,5
1000,15,2
900,217,5
575,120,1
777,233,5
990,203,3
798,274,3
600,221,4
366,168,2
212,328,5
430,315,2
707,367,5
86,180,1
230,222,5
570,64,2
447,374,5
839,415,4
580,259,4
4,89,3
249,17,4
152,67,5
819,378,3
527,197,1
754,338,5
117,182,4
890,359,5
368,206,5
415,218,1
829,114,1
214,437,5
852,397,1
934,394,3
450,52,1
281,35,5
506,335,5
245,47,3
107,56,3
24,377,4
602,389,1
380,97,4
795,430,1
492,130,4
422,408,2
744,160,5
22,208,3
178,67,2
306,58,1
564,207,5
722,383,5
689,190,4
193,286,4
716,145,5
113,77,4
51,245,4
35,144,5
160,129,1
888,250,5
436,312,1
731,159,1
206,337,3
127,180,4
728,325,2
731,331,4
964,59,5
194,249,5
666,294,3
260,260,2
180,181,2
35,49,1
703,379,2
327,431,3
468,139,2
609,176,3
718,13,5
947,92,2
838,103,1
908,256,1
470,176,1
304,104,2
79,270,4
137,381,5
506,352,4
409,129,1
755,47,2
435,150,3
510,243,4
28,51,4
257,336,1
922,114,4
376,399,5
227,401,5
335,189,3
629,110,2
594,329,4
737,248,2
909,392,4
784,211,3
720,260,1
218,276,3
224,60,3
259,207,1
314,81,5
391,153,5
103,153,5
631,188,4
405,9,5
187,296,4
244,266,5
142,331,4
572,366,4
314,291,1
427,201,2
281,171,4
763,86,2
207,411,5
1000,240,3
387,415,5
589,85,1
477,96,3
12,206,1
459,136,4
542,179,1
426,342,4
46,364,2
465,163,3
722,313,3
321,371,5
706,23,2
207,101,4
416,281,3
835,43,2
990,214,3
845,232,4
315,266,3
483,151,3
83,183,3
70,425,4
721,409,3
330,364,4
20,190,5
740,172,4
79,286,2
159,299,2
780,1,2
765,227,1
267,206,3
820,297,5
607,124,1
586,132,3
109,171,3
830,127,5
739,213,3
516,91,4
595,327,5
237,321,1
696,345,1
366,228,3
244,84,1
45,366,4
564,211,2
581,99,2
305,97,4
158,366,3
112,185,5
772,416,3
280,258,2
6,316,2
465,395,4
613,350,5
557,159,3
600,131,3
654,315,5
285,251,3
687,323,1
947,396,3
101,266,1
288,224,1
165,397,5
929,331,4
456,195,5
485,205,3
776,25,4
892,240,1
201,308,4
318,8,2
757,413,2
145,424,4
340,156,2
225,240,5
394,350,5
129,425,3
729,272,3
467,163,3
199,356,4
181,88,5
437,393,1
568,210,2
268,210,2
360,203,5
178,79,1
853,152,5
37,71,1
163,111,3
486,184,3
364,303,2
743,71,2
808,334,1
315,341,3
793,257,5
282,66,3
562,201,4
283,203,2
802,30,3
97,152,5
301,184,4
948,393,2
506,174,1
686,194,2
719,332,3
412,396,2
917,77,2
470,138,5
300,71,4
150,424,3
438,391,2
530,129,3
281,128,2
794,141,1
152,390,2
638,91,2
480,252,5
214,27,1
190,398,4
631,67,2
367,429,5
635,84,3
144,178,5
948,294,1
884,312,4
999,317,3
112,368,3
873,54,2
189,79,3
890,134,4
38,163,2
803,412,3
367,388,2
563,75,3
821,344,1
73,28,1
799,400,1
227,348,4
850,97,2
748,129,5
505,14,1
872,348,3
154,385,3
494,253,2
413,372,1
463,337,4
873,3,3
274,278,1
302,390,4
27,380,2
899,14,1
614,242,1
738,294,3
243,13,2
839,409,5
317,294,3
340,45,5
955,9,5
302,111,5
821,317,4
555,93,3
637,138,4
681,344,4
787,141,2
805,3,1
7,36,2
512,414,5
372,233,2
507,318,3
619,40,3
456,3,4
494,63,5
752,339,1
522,292,5
406,156,1
480,23,2
645,319,5
162,39,1
471,226,3
70,144,5
938,419,1
331,423,5
559,219,3
795,46,2
974,95,5
838,123,4
174,388,5
241,157,3
144,24,4
346,396,1
564,132,5
656,122,3
374,202,4
457,113,1
157,343,1
481,287,1
414,122,1
465,80,5
293,352,2
267,126,5
295,219,5
443,45,5
960,111,2
987,173,3
733,173,4
850,198,2
126,126,4
500,394,3
879,47,5
837,83,3
360,39,1
30,246,2
842,9,1
857,366,1
414,156,3
318,346,4
206,389,5
830,253,4
113,175,4
3,382,5
115,179,5
523,258,3
162,317,1
36,195,1
593,344,1
928,244,1
531,314,4
942,95,3
271,429,2
5,131,3
115,55,1
840,280,1
405,45,5
835,181,4
670,312,1
422,208,5
742,360,5
743,6,1
452,337,3
110,270,3
754,427,3
256,284,1
166,245,5
71,69,1
630,115,5
964,220,2
32,172,5
522,360,1
176,149,1
921,213,5
828,84,5
680,270,5
953,228,4
585,382,5
891,290,2
279,36,5
209,83,5
908,99,4
28,315,3
57,317,1
248,323,2
36,284,5
859,293,4
983,379,1
519,286,2
778,226,3
977,291,1
78,403,4
564,222,2
706,55,3
164,273,3
916,107,2
551,318,5
881,292,2
889,396,5
622,343,5
667,298,5
302,396,3
732,132,4
493,59,1
479,357,2
413,222,1
223,436,4
359,280,3
914,366,5
963,180,2
259,47,5
227,251,5
855,256,3
209,41,3
841,169,4
118,34,3
676,206,5
337,350,5
277,268,1
417,154,5
162,117,2
475,393,4
270,298,4
79,125,4
372,80,1
864,428,3
175,191,1
274,402,2
935,128,1
17,182,4
921,100,5
216,212,1
301,84,4
417,371,3
907,319,2
169,429,5
282,177,4
769,80,5
582,414,5
480,430,3
385,300,4
79,418,5
174,157,4
571,402,3
89,21,1
766,307,1
45,129,5
89,214,4
539,77,2
655,361,4
515,16,3
294,137,2
712,371,1
654,95,2
489,22,1
302,58,3
462,30,5
956,114,3
38,95,2
440,140,4
9,304,5
250,86,5
913,202,2
845,403,1
841,305,3
963,15,4
536,366,3
489,12,3
364,79,1
750,230,4
139,410,5
829,127,5
757,206,4
728,179,4
511,299,5
145,135,4
153,415,5
703,378,5
996,245,2
112,93,5
664,45,5
278,386,3
450,139,4
841,98,4
556,158,4
901,107,5
639,337,5
355,2,3
831,269,2
668,407,3
515,207,4
859,111,4
674,246,1
864,242,1
692,380,2
670,200,5
299,37,2
157,210,3
663,345,4
211,128,1
758,154,1
386,184,3
974,194,5
40,258,1
398,296,1
599,436,5
814,25,2
429,396,2
969,203,4
548,178,2
481,122,5
876,114,2
210,414,1
969,341,1
862,219,1
537,363,5
386,236,5
408,228,5
204,123,3
815,230,1
778,405,1
874,171,3
155,149,5
808,340,2
308,203,2
316,201,2
317,164,5
603,108,2
233,52,1
914,334,5
653,35,3
396,54,5
773,198,2
796,176,2
25,80,2
554,415,1
762,387,3
510,331,4
800,167,4
141,271,3
208,247,1
894,168,4
893,198,4
656,104,2
297,34,5
559,258,4
853,266,2
427,201,2
624,142,5
790,368,2
791,120,2
416,305,2
489,206,3
811,39,4
198,433,5
361,424,4
923,416,2
686,272,2
362,396,1
559,348,4
478,46,2
582,244,4
254,186,5
762,398,5
961,236,5
849,336,3
135,390,2
972,388,3
696,314,4
856,351,2
409,264,4
604,1,5
777,267,1
303,70,3
682,237,5
509,375,1
385,122,1
421,118,4
753,343,2
117,150,3
584,134,3
531,193,1
436,84,3
516,164,3
722,100,5
282,226,4
961,355,5
460,401,2
320,412,3
559,430,4
209,321,5
361,407,4
336,141,4
776,398,4
74,172,1
457,72,1
162,408,1
38,301,5
324,14,2
7,160,5
493,416,2
422,197,5
517,158,5
328,51,5
595,14,1
756,290,5
821,131,4
213,320,1
345,372,3
688,269,2
91,62,5
225,145,1
953,81,1
496,260,5
214,154,4
726,377,1
840,250,5
588,332,5
479,381,1
475,387,1
974,16,1
694,408,4
115,123,3
797,309,4
106,437,5
878,94,5
16,348,2
709,332,1
186,397,3
56,380,3
372,302,2
607,413,4
63,255,5
783,74,4
511,332,4
359,334,1
36,368,2
67,233,5
208,437,4
787,124,4
414,67,3
766,325,5
707,412,5
416,410,3
520,325,5
86,244,2
58,302,3
265,111,5
70,230,2
31,320,5
923,149,5
232,332,2
424,52,5
26,181,4
971,355,4
835,106,2
87,120,2
271,392,5
15,402,2
241,262,4
866,383,3
617,434,4
445,214,1
555,76,5
727,100,2
859,384,5
485,239,1
21,68,1
673,360,3
141,137,4
434,184,4
762,232,4
102,17,4
401,281,5
24,254,1
696,332,5
194,395,4
172,89,3
904,93,3
729,198,3
309,85,1
129,2,5
269,361,2
927,378,3
735,241,2
971,419,1
409,402,4
360,425,2
136,205,2
653,159,2
929,204,1
750,325,5
614,243,1
